item	k	n	ic_lo	ic_hi
1.1	30	30	0.8865	1.0000
1.2	30	30	0.8865	1.0000
1.3	30	30	0.8865	1.0000
1.4	30	30	0.8865	1.0000
1.5	23	30	0.5907	0.8821
1.6	30	30	0.8865	1.0000
1.7	30	30	0.8865	1.0000
1.8	30	30	0.8865	1.0000
2.1.1	30	30	0.8865	1.0000
2.1.2	30	30	0.8865	1.0000
2.2.1	16	30	0.3614	0.6977
2.2.2	30	30	0.8865	1.0000
2.2.3	28	30	0.7868	0.9815
2.2.4	23	30	0.5907	0.8821
2.2.5	29	30	0.8333	0.9941
2.2.6	30	30	0.8865	1.0000
2.2.7	24	30	0.6269	0.9050
2.2.8	30	30	0.8865	1.0000
2.2.9	27	30	0.7438	0.9654
2.2.10	19	30	0.4551	0.7813
2.3.1	30	30	0.8865	1.0000
2.3.2	30	30	0.8865	1.0000
2.3.3	30	30	0.8865	1.0000
2.3.4	21	30	0.5212	0.8334
2.3.5	27	30	0.7438	0.9654
2.3.6	30	30	0.8865	1.0000
2.3.7	30	30	0.8865	1.0000
2.3.8	10	30	0.1923	0.5122
2.3.9	25	30	0.6644	0.9266
2.3.10	30	30	0.8865	1.0000
2.3.11	30	30	0.8865	1.0000
2.3.12	30	30	0.8865	1.0000
2.3.13	30	30	0.8865	1.0000
2.3.14	8	30	0.1418	0.4445
2.3.15	30	30	0.8865	1.0000
2.3.16	30	30	0.8865	1.0000
2.4.1	30	30	0.8865	1.0000
2.4.2	30	30	0.8865	1.0000
2.4.3	30	30	0.8865	1.0000
2.4.4	30	30	0.8865	1.0000
2.4.5	28	30	0.7868	0.9815
