run	condicao	m1_vigente	m1_registrada	m2_vigente_33	m2_registrada_34	esquema	reuso	estilo	convencao	crs	crs_conforme	casas	promoveu_utils
C1-baseline-20260731-230551-r01	C1	1	1	24	23	2	4	14	4	EPSG:3857	1	avg_dist_nearest_km=2;avg_dist_neighbors_km=2;avg_enrollment=2	0
C2-schema-metadata-20260731-231615-r01	C2	1	0	25	25	2	4	15	4	EPSG:4326	0	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C3-standards-20260731-232609-r01	C3	1	0	29	27	2	9	13	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	1
C4-claude-md-init-20260731-234434-r01	C4	1	0	29	29	2	7	15	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r01	C5	0	0	29	28	2	9	13	5	EPSG:3857	1	avg_dist_nearest_km=15;avg_dist_neighbors_km=15;avg_enrollment=13	0
C5-final-20260731-235945-r02	C5	1	0	28	28	2	8	13	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r03	C5	1	0	30	28	2	10	13	5	EPSG:4326	0	avg_dist_nearest_km=15;avg_dist_neighbors_km=15;avg_enrollment=13	0
C5-final-20260731-235945-r04	C5	1	0	30	30	2	10	13	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	1
C5-final-20260731-235945-r05	C5	1	0	29	27	2	9	13	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r06	C5	1	0	31	29	2	8	16	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r07	C5	1	0	30	28	2	9	14	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r08	C5	0	0	32	30	2	10	15	5	EPSG:4326	0	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r09	C5	1	0	28	26	2	7	14	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r10	C5	1	0	28	27	2	8	13	5	EPSG:4326	0	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r11	C5	1	0	31	29	2	10	14	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260731-235945-r12	C5	1	0	31	29	2	9	15	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=1	0
C5-final-20260801-100109-r01	C5	0	0	28	27	2	8	13	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260801-101847-r01	C5	0	0	30	28	2	9	14	5	EPSG:3857	1	avg_dist_nearest_km=2;avg_dist_neighbors_km=2;avg_enrollment=2	1
C5-final-20260801-103603-r01	C5	1	0	29	28	2	9	13	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=1	1
C5-final-20260801-111603-r01	C5	1	0	28	27	2	7	14	5	EPSG:4326	0	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260801-113317-r01	C5	1	0	29	28	2	7	15	5	EPSG:4326	0	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260801-115148-r01	C5	1	0	33	31	2	10	16	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	1
C5-final-20260801-121004-r01	C5	1	0	26	25	2	6	14	4	EPSG:4326	0	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=1	0
C5-final-20260801-122257-r01	C5	1	1	29	27	2	9	13	5	EPSG:3857	1	avg_dist_nearest_km=15;avg_dist_neighbors_km=15;avg_enrollment=13	0
C5-final-20260801-124146-r01	C5	0	0	27	25	2	8	12	5	EPSG:3857	1	avg_dist_nearest_km=15;avg_dist_neighbors_km=15;avg_enrollment=13	0
C5-final-20260801-132147-r01	C5	1	1	30	29	2	9	14	5	EPSG:3857	1	avg_dist_nearest_km=15;avg_dist_neighbors_km=15;avg_enrollment=13	0
C5-final-20260801-134035-r01	C5	1	0	31	29	2	10	14	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	1
C5-final-20260801-142035-r01	C5	1	0	30	29	2	9	14	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260801-143919-r01	C5	1	0	30	29	2	8	15	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=1	0
C5-final-20260801-145412-r01	C5	0	0	29	28	2	8	14	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260801-173727-r01	C5	1	0	32	30	2	9	16	5	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260801-175415-r01	C5	1	1	31	29	2	10	14	5	EPSG:3857	1	avg_dist_nearest_km=15;avg_dist_neighbors_km=15;avg_enrollment=13	1
C5-final-20260801-181042-r01	C5	0	0	29	28	2	7	15	5	EPSG:4326	0	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
C5-final-20260801-182624-r01	C5	1	0	27	26	2	6	15	4	EPSG:3857	1	avg_dist_nearest_km=3;avg_dist_neighbors_km=3;avg_enrollment=2	0
