run;condicao;e5_sequencia;e5_artefatos_ate_primeira_escrita;e5_chamadas_ate_primeira_escrita;e5_chamadas_total;e5_ferramentas;e5_spark_submits;e5_cmd_menciona_3857;e5_cmd_menciona_4326;e5_cmd_menciona_geoparquet;e5_cmd_menciona_medallion;e5_cmd_menciona_utils;e5_cmd_menciona_arredondamento;e5_cmd_menciona_metadata;e5_cmd_menciona_idioma;e5_cmd_claude_md_bytes;e1_leu_gold_hexbin_antes;e1_usou_round_no_job;e2_leu_coding_standards;e2_leu_utils_dataframe;e2_leu_metadata_outro_app;e2_leu_gold_geo;e2_reprojetou_apos_reconstruir;e3_escreveu_script_verificacao;e3_invariante_no_job;conf_chamadas_com_erro;conf_houve_erro_de_execucao;e4_leu_metadata_educacao;e4_leu_raw_antes_de_escrever;e4_leu_raw_por_shell;usou_kring
C1-baseline-20260731-230551-r01;C1;metadata_educacao > metadata_outro_app > utils_dataframe > utils_column > utils_dataframe > gold_hexbin > gold_geo > raw_csv > utils_column > metadata_educacao > raw_csv;7;27;31;"Bash=26;Read=3;Write=2";4;;;;;;;;;0;True;True;False;True;True;True;False;False;False;2;True;True;True;True;True
C2-schema-metadata-20260731-231615-r01;C2;metadata_educacao > utils_dataframe > utils_column > gold_hexbin > gold_geo > raw_csv > metadata_outro_app > gold_hexbin > metadata_educacao;7;21;32;"Bash=25;Edit=1;Read=1;Write=5";4;;;;;;;;;0;True;True;False;True;True;True;False;True;False;5;True;True;True;True;True
C3-standards-20260731-232609-r01;C3;coding_standards > metadata_educacao > metadata_outro_app > gold_hexbin > gold_geo > utils_dataframe > utils_column > raw_csv > utils_column > metadata_educacao > utils_dataframe > utils_column;8;45;69;"Bash=28;Edit=1;Read=17;TaskCreate=6;TaskUpdate=7;ToolSearch=2;Write=8";6;;;;;;;;;0;True;True;True;True;True;True;True;False;False;10;True;True;True;True;True
C4-claude-md-init-20260731-234434-r01;C4;metadata_outro_app > utils_dataframe > utils_column > gold_geo > claude_md > metadata_educacao > metadata_outro_app > gold_geo > gold_hexbin > utils_column > utils_dataframe > raw_csv;8;48;59;"Bash=39;Read=13;Write=7";5;True;True;True;True;True;False;True;True;6251;True;True;False;True;True;True;True;False;False;8;True;True;True;True;True
C5-final-20260731-235945-r01;C5;coding_standards > metadata_outro_app > utils_dataframe > gold_geo > gold_hexbin > utils_column > claude_md > metadata_educacao > coding_standards > utils_dataframe > utils_column > gold_geo;9;59;75;"Bash=31;Edit=7;Read=29;ToolSearch=1;Write=7";7;True;True;True;True;True;False;True;True;6567;True;False;True;True;True;True;True;False;False;17;True;True;True;True;True
C5-final-20260731-235945-r02;C5;coding_standards > metadata_outro_app > utils_dataframe > utils_column > gold_geo > utils_column > gold_hexbin > claude_md > metadata_educacao > gold_geo > utils_dataframe > gold_geo;9;56;76;"Bash=26;Edit=4;Read=27;TaskCreate=5;TaskUpdate=6;ToolSearch=1;Write=7";7;True;True;True;True;True;False;True;True;6426;True;True;True;True;True;True;True;False;False;15;True;True;True;True;True
C5-final-20260731-235945-r03;C5;coding_standards > utils_column > utils_dataframe > metadata_outro_app > utils_column > claude_md > metadata_educacao > coding_standards > utils_column > utils_dataframe > gold_geo > gold_hexbin;9;82;103;"Bash=48;Edit=4;Read=28;TaskCreate=5;TaskUpdate=10;ToolSearch=1;Write=7";9;True;False;False;True;True;False;True;True;6274;True;False;True;True;True;True;False;True;False;14;True;True;True;True;True
C5-final-20260731-235945-r04;C5;coding_standards > metadata_outro_app > utils_dataframe > utils_column > metadata_outro_app > gold_geo > claude_md > coding_standards > utils_column > utils_dataframe > gold_hexbin > gold_geo;9;53;72;"Bash=31;Edit=8;Glob=1;Read=25;Write=7";5;True;False;True;True;True;False;True;True;4960;True;True;True;True;True;True;False;False;False;15;True;True;True;True;True
C5-final-20260731-235945-r05;C5;coding_standards > metadata_outro_app > utils_dataframe > utils_column > gold_geo > gold_hexbin > utils_column > claude_md > metadata_educacao > utils_column > utils_dataframe > gold_hexbin;9;59;70;"Bash=37;Edit=5;Read=23;Write=5";5;True;True;True;True;True;False;True;True;6390;True;True;True;True;True;True;True;False;False;14;True;True;True;True;True
C5-final-20260731-235945-r06;C5;coding_standards > metadata_outro_app > utils_column > gold_geo > utils_dataframe > claude_md > metadata_educacao > coding_standards > utils_dataframe > utils_column > gold_geo > gold_hexbin;9;66;84;"Bash=28;Edit=4;Glob=1;Grep=1;Read=29;TaskCreate=5;TaskUpdate=10;ToolSearch=1;Write=5";6;True;False;True;True;True;False;True;True;6124;True;True;True;True;True;True;True;False;False;13;True;True;True;True;True
C5-final-20260731-235945-r07;C5;coding_standards > metadata_outro_app > gold_geo > gold_hexbin > utils_column > utils_dataframe > utils_column > claude_md > metadata_educacao > utils_dataframe > utils_column > gold_geo;9;58;76;"Bash=22;Edit=4;Read=31;TaskCreate=5;TaskUpdate=5;ToolSearch=2;Write=7";5;True;True;True;True;True;False;True;True;6108;True;True;True;True;True;True;True;True;False;15;True;True;True;True;True
C5-final-20260731-235945-r08;C5;coding_standards > metadata_outro_app > utils_column > utils_dataframe > gold_geo > utils_column > gold_hexbin > claude_md > metadata_educacao > coding_standards > utils_dataframe > utils_column;9;52;66;"Bash=25;Edit=4;Read=29;ToolSearch=1;Write=7";8;True;True;True;True;True;False;True;True;6585;True;True;True;True;True;True;True;False;False;16;True;True;True;True;True
C5-final-20260731-235945-r09;C5;coding_standards > metadata_outro_app > utils_column > utils_dataframe > utils_column > gold_geo > claude_md > metadata_educacao > gold_hexbin > gold_geo > utils_dataframe > utils_column;9;68;80;"Bash=44;Edit=2;Glob=3;Read=25;Write=6";8;True;False;True;True;True;False;True;True;5405;True;True;True;True;True;True;True;False;False;12;True;True;True;True;True
C5-final-20260731-235945-r10;C5;coding_standards > metadata_outro_app > gold_geo > utils_column > utils_dataframe > claude_md > gold_hexbin > utils_column > claude_md > metadata_educacao > utils_column > utils_dataframe;9;56;72;"Bash=34;Edit=3;Read=18;TaskCreate=5;TaskUpdate=5;ToolSearch=2;Write=5";6;True;True;True;True;True;False;True;True;6805;True;True;True;True;True;True;True;False;False;13;True;True;True;True;True
C5-final-20260731-235945-r11;C5;coding_standards > metadata_outro_app > gold_geo > utils_dataframe > utils_column > gold_geo > utils_dataframe > utils_column > metadata_outro_app > utils_column > gold_hexbin > claude_md;9;34;43;"Bash=26;Edit=4;Read=8;Write=5";3;True;True;True;True;True;False;True;True;5445;True;True;True;True;True;True;True;False;False;9;True;True;True;True;True
C5-final-20260731-235945-r12;C5;coding_standards > metadata_outro_app > utils_column > gold_geo > utils_dataframe > claude_md > metadata_educacao > utils_dataframe > raw_csv > gold_hexbin > gold_geo > raw_csv;9;59;73;"Bash=33;Edit=6;Glob=2;Read=26;ToolSearch=1;Write=5";8;True;False;True;True;True;False;True;True;5489;True;True;True;True;True;True;True;False;False;16;True;True;True;True;True
C5-final-20260801-100109-r01;C5;coding_standards > metadata_outro_app > utils_column > gold_geo > utils_dataframe > claude_md > coding_standards > metadata_educacao > utils_dataframe > gold_hexbin > gold_geo > metadata_outro_app;9;69;86;"Bash=35;Edit=3;Glob=1;Read=30;TaskCreate=5;TaskUpdate=5;ToolSearch=2;Write=5";8;True;True;True;True;True;False;True;True;6992;True;True;True;True;True;True;True;False;False;12;True;True;True;True;True
C5-final-20260801-101847-r01;C5;coding_standards > metadata_outro_app > utils_dataframe > utils_column > gold_geo > gold_hexbin > utils_column > raw_csv > claude_md > coding_standards > metadata_educacao > utils_dataframe;9;61;84;"Bash=29;Edit=5;Read=26;TaskCreate=6;TaskUpdate=12;ToolSearch=1;Write=5";8;True;True;True;True;True;False;True;True;6590;True;True;True;True;True;True;True;False;False;12;True;True;True;True;True
C5-final-20260801-103603-r01;C5;coding_standards > metadata_outro_app > utils_column > utils_dataframe > claude_md > metadata_educacao > utils_dataframe > gold_hexbin > gold_geo > utils_column > raw_csv > metadata_outro_app;9;64;82;"Bash=31;Edit=5;Glob=1;Read=24;TaskCreate=6;TaskUpdate=8;ToolSearch=2;Write=5";9;True;False;False;True;True;False;True;True;6901;True;True;True;True;True;True;False;False;False;11;True;True;True;True;True
C5-final-20260801-111603-r01;C5;coding_standards > metadata_outro_app > gold_geo > utils_column > utils_dataframe > gold_hexbin > utils_column > claude_md > coding_standards > utils_dataframe > utils_column > gold_geo;8;48;64;"Bash=31;Edit=3;Read=22;Write=8";7;True;False;True;True;True;False;True;True;6026;True;True;True;True;True;True;True;False;False;15;True;True;True;True;True
C5-final-20260801-113317-r01;C5;coding_standards > metadata_outro_app > utils_dataframe > utils_column > gold_geo > gold_hexbin > utils_column > metadata_outro_app > claude_md > metadata_educacao > raw_csv > utils_dataframe;9;67;80;"Bash=37;Edit=4;Read=32;Write=7";4;True;True;True;True;True;False;True;True;5940;True;True;True;True;True;True;False;False;False;15;True;True;True;True;True
